id,use_case,category,phase,participants,feasibility,current_ai,datasets_methods,open_problems
UC1-01,Audience-specific message customization,Public & Stakeholder Messaging,Preparedness/Response,24,High,Yes,"LLMs; readability scoring","Equity of reading-level adaptation; avoiding patronizing or excluding specific communities"
UC1-02,Multi-language warning translation,Public & Stakeholder Messaging,Preparedness/Response,24,High,Limited,"Commercial MT APIs; NLLB","Which languages get prioritized; low-resource quality; safety of a mistranslated warning"
UC1-03,Message compliance checking,Public & Stakeholder Messaging,Preparedness/Response,24,High,None,"LLMs + rules; mass-notification / IPAWS best practices","Encoding evolving best practices; jurisdiction-specific rules"
UC1-04,Misinformation monitoring and flagging,Public & Stakeholder Messaging,Response,24,Low,None,"Crisis NLP; rumor-propagation models","Misinfo spreads faster than verification; accuracy drops on novel claims; false positives undermine legitimate community intel"
UC2-01,Social media intelligence with hot-spot clustering,Situational Awareness,Response,15,Moderate,None,"CrisisTransformers; HumAID; CrisisLex","Verification-vs-speed tension; sparse geolocation; degraded-conditions availability"
UC2-02,Multi-stream synthesis dashboard,Situational Awareness,Response,15,Moderate,None,"Data fusion; dashboarding","API access and interoperability exceed local-agency capacity; must reduce cognitive load, not add streams"
UC2-03,Anomaly detection and flagging,Situational Awareness,Response,15,Moderate,None,"Time-series / sensor anomaly detection","Defining anomaly across hazard types; false-alarm fatigue"
UC3-01,Automated plan review against EMAP,Planning,Mitigation/Preparedness,12,High,None,"RAG; document analysis; EMAP criteria","Temporal obsolescence — plans go stale before finalization; keeping criteria current"
UC3-02,Dependency detection (crosswalk),Planning,Mitigation/Preparedness,12,High,None,"Cross-document IE; graph methods","Plans often non-digitized / non-standardized; integration across many documents"
UC3-03,After-action review synthesis across jurisdictions,Planning,Recovery,12,High,None,"LLM summarization; clustering","Comparability across heterogeneous AARs; surfacing transferable lessons"
UC4-01,Incident Action Plan generation from commander intent,Incident Management,Response,11,High,None,"LLMs; ICS / IAP templates","Maintaining human authority; fidelity to intent; auditability of generated text"
UC4-02,EOC activation decision support,Incident Management,Response,11,Low,None,"—","~1,400 counties with idiosyncratic criteria; liability and political factors are not algorithmic — flagged rabbit hole"
UC5-01,Automated damage detection from imagery,Damage Assessment,Response/Recovery,10,High,Limited,"xBD; CV; U-Net; damage transformers","Volume of imagery to review; Global-South geographic bias in training data"
UC5-02,Change detection (pre/post imagery),Damage Assessment,Response/Recovery,10,High,None,"Siamese CV; xBD","Availability of pre-event imagery; accurate georeferencing"
UC5-03,Auto-generated Preliminary Damage Assessments,Damage Assessment,Recovery,10,Moderate,None,"CV + report templates; GIS","Workflow and GIS integration; interoperability (an engineering, not research, problem)"
UC6-01,Adaptive scenario and inject generation,Exercises,Preparedness,8,High,Yes,"LLM narrative generation","Plausibility and realism; internal consistency of generated injects"
UC6-02,After-action performance analytics,Exercises,Preparedness,8,High,None,"LLMs; decision-point capture","Metric design without adverse incentives; not over-simplifying complex decisions"
UC7-01,UAV search-target identification,Search and Rescue,Response,6,Moderate,None,"Aerial DL detection; embedded inference","SAR datasets limited to European terrain; on-device compute constraints"
UC7-02,Search-pattern optimization,Search and Rescue,Response,6,Moderate,None,"RL; path planning","Communication interoperability is the binding constraint, not AI capability"
UC7-03,Multi-agency deconfliction and coordination,Search and Rescue,Response,6,Moderate,None,"Optimization; shared protocols","Needs institutional agreements and standardized protocols that exceed software scope"
